,signal_type,region,region_name,endpoint,model,data_start,train_start,train_end,type
0,co2_moer,AECI,Associated Electric Coop Inc,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
1,co2_moer,AECI,Associated Electric Coop Inc,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
6,co2_moer,AVA,Avista Corp,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
7,co2_moer,AVA,Avista Corp,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
8,co2_moer,AZPS,Arizona Public Service Co,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
9,co2_moer,AZPS,Arizona Public Service Co,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
10,co2_moer,BANC,Balancing Authority of Northern California,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
11,co2_moer,BANC,Balancing Authority of Northern California,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
18,co2_moer,BPA,Bonneville Power Administration,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
19,co2_moer,BPA,Bonneville Power Administration,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
22,co2_moer,CAISO_ESCONDIDO,California ISO Escondido,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
23,co2_moer,CAISO_ESCONDIDO,California ISO Escondido,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
24,co2_moer,CAISO_ESCONDIDO,California ISO Escondido,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
25,co2_moer,CAISO_ESCONDIDO,California ISO Escondido,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
26,co2_moer,CAISO_LONGBEACH,California ISO Long Beach,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
27,co2_moer,CAISO_LONGBEACH,California ISO Long Beach,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
28,co2_moer,CAISO_LONGBEACH,California ISO Long Beach,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
29,co2_moer,CAISO_LONGBEACH,California ISO Long Beach,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
30,co2_moer,CAISO_NORTH,California ISO Northern,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
31,co2_moer,CAISO_NORTH,California ISO Northern,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
32,co2_moer,CAISO_NORTH,California ISO Northern,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
33,co2_moer,CAISO_NORTH,California ISO Northern,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
34,co2_moer,CAISO_PALMSPRINGS,California ISO Palm Springs,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
35,co2_moer,CAISO_PALMSPRINGS,California ISO Palm Springs,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
36,co2_moer,CAISO_PALMSPRINGS,California ISO Palm Springs,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
37,co2_moer,CAISO_PALMSPRINGS,California ISO Palm Springs,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
38,co2_moer,CAISO_REDDING,California ISO Redding,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
39,co2_moer,CAISO_REDDING,California ISO Redding,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
40,co2_moer,CAISO_REDDING,California ISO Redding,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
41,co2_moer,CAISO_REDDING,California ISO Redding,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
42,co2_moer,CAISO_SANBERNARDINO,California ISO San Bernardino,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
43,co2_moer,CAISO_SANBERNARDINO,California ISO San Bernardino,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
44,co2_moer,CAISO_SANBERNARDINO,California ISO San Bernardino,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
45,co2_moer,CAISO_SANBERNARDINO,California ISO San Bernardino,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
46,co2_moer,CAISO_SANDIEGO,California ISO San Diego,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
47,co2_moer,CAISO_SANDIEGO,California ISO San Diego,v3/historical,2023-03-01,2020-03-01,2021-01-01,2023-03-01,binned_regression
48,co2_moer,CAISO_SANDIEGO,California ISO San Diego,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
49,co2_moer,CAISO_SANDIEGO,California ISO San Diego,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
52,co2_moer,CHPD,PUD No 1 of Chelan County,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
53,co2_moer,CHPD,PUD No 1 of Chelan County,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
54,co2_moer,CPLE,Duke Energy Progress East,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
55,co2_moer,CPLE,Duke Energy Progress East,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
56,co2_moer,CPLW,Duke Energy Progress West,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
57,co2_moer,CPLW,Duke Energy Progress West,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
68,co2_moer,DOPD,PUD No 1 of Douglas County,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
69,co2_moer,DOPD,PUD No 1 of Douglas County,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
70,co2_moer,DUK,Duke Energy Carolinas,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
71,co2_moer,DUK,Duke Energy Carolinas,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
74,co2_moer,ELE,El Paso Electric,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
75,co2_moer,ELE,El Paso Electric,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
76,co2_moer,ERCOT_AUSTIN,ERCOT Austin,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
77,co2_moer,ERCOT_AUSTIN,ERCOT Austin,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
78,co2_moer,ERCOT_AUSTIN,ERCOT Austin,v3/forecast,2022-10-01,2021-12-31,2020-01-01,2021-12-31,
79,co2_moer,ERCOT_AUSTIN,ERCOT Austin,v3/forecast,2023-03-01,2023-01-01,2021-01-01,2023-01-01,
80,co2_moer,ERCOT_COAST,ERCOT Coast,v3/historical,2022-10-01,2020-01-01,2020-03-01,2022-03-01,binned_regression
81,co2_moer,ERCOT_COAST,ERCOT Coast,v3/historical,2023-03-01,2021-08-01,2021-01-01,2023-03-01,binned_regression
