,point_time,value
0,2024-05-28T14:20:00+00:00,479.4
1,2024-05-28T14:25:00+00:00,479.4
2,2024-05-28T14:30:00+00:00,489.1
3,2024-05-28T14:35:00+00:00,396.6
4,2024-05-28T14:40:00+00:00,361.9
5,2024-05-28T14:45:00+00:00,235.7
6,2024-05-28T14:50:00+00:00,230.6
7,2024-05-28T14:55:00+00:00,212.4
8,2024-05-28T15:00:00+00:00,202.6
9,2024-05-28T15:05:00+00:00,225.6
10,2024-05-28T15:10:00+00:00,191.6
11,2024-05-28T15:15:00+00:00,199.2
12,2024-05-28T15:20:00+00:00,161.8
13,2024-05-28T15:25:00+00:00,188.7
14,2024-05-28T15:30:00+00:00,158.6
15,2024-05-28T15:35:00+00:00,148.4
16,2024-05-28T15:40:00+00:00,147.2
17,2024-05-28T15:45:00+00:00,145.6
18,2024-05-28T15:50:00+00:00,136.5
19,2024-05-28T15:55:00+00:00,180.1
20,2024-05-28T16:00:00+00:00,169.2
21,2024-05-28T16:05:00+00:00,180.1
22,2024-05-28T16:10:00+00:00,171.8
23,2024-05-28T16:15:00+00:00,171.0
24,2024-05-28T16:20:00+00:00,173.4
25,2024-05-28T16:25:00+00:00,173.5
26,2024-05-28T16:30:00+00:00,173.5
27,2024-05-28T16:35:00+00:00,173.6
28,2024-05-28T16:40:00+00:00,159.7
29,2024-05-28T16:45:00+00:00,172.9
30,2024-05-28T16:50:00+00:00,159.6
31,2024-05-28T16:55:00+00:00,159.5
32,2024-05-28T17:00:00+00:00,153.8
33,2024-05-28T17:05:00+00:00,152.5
34,2024-05-28T17:10:00+00:00,150.4
35,2024-05-28T17:15:00+00:00,149.0
36,2024-05-28T17:20:00+00:00,148.4
37,2024-05-28T17:25:00+00:00,147.9
38,2024-05-28T17:30:00+00:00,147.3
39,2024-05-28T17:35:00+00:00,178.0
40,2024-05-28T17:40:00+00:00,149.9
41,2024-05-28T17:45:00+00:00,149.4
42,2024-05-28T17:50:00+00:00,148.6
43,2024-05-28T17:55:00+00:00,146.5
44,2024-05-28T18:00:00+00:00,140.6
45,2024-05-28T18:05:00+00:00,141.4
46,2024-05-28T18:10:00+00:00,141.7
47,2024-05-28T18:15:00+00:00,142.0
48,2024-05-28T18:20:00+00:00,142.3
49,2024-05-28T18:25:00+00:00,142.6
50,2024-05-28T18:30:00+00:00,143.7
51,2024-05-28T18:35:00+00:00,146.9
52,2024-05-28T18:40:00+00:00,145.9
53,2024-05-28T18:45:00+00:00,143.8
54,2024-05-28T18:50:00+00:00,144.1
55,2024-05-28T18:55:00+00:00,144.5
56,2024-05-28T19:00:00+00:00,139.1
57,2024-05-28T19:05:00+00:00,138.5
58,2024-05-28T19:10:00+00:00,137.2
59,2024-05-28T19:15:00+00:00,136.1
60,2024-05-28T19:20:00+00:00,134.9
61,2024-05-28T19:25:00+00:00,133.6
62,2024-05-28T19:30:00+00:00,132.4
